prob	ratio
0.2999438920365306	2.51
0.2999438920365306	2.52
0.2999438920365306	2.53
0.2999438920365306	2.54
0.2999438920365306	2.55
0.2999438920365306	2.56
0.2999438920365306	2.57
0.2999438920365306	2.58
0.2999438920365306	2.59
0.2999438920365306	2.6
0.2999438920365306	2.61
0.2999438920365306	2.62
0.2999438920365306	2.63
0.29913136231560233	2.64
0.2929085873347117	2.65
0.2918459265444693	2.66
0.29100173285486663	2.67
0.29100173285486663	2.68
0.29100173285486663	2.69
0.29100173285486663	2.7
0.29100173285486663	2.71
0.28923266893386446	2.72
0.28923266893386446	2.73
0.28923266893386446	2.74
0.28923266893386446	2.75
0.28923266893386446	2.76
0.28923266893386446	2.77
0.28923266893386446	2.78
0.28923266893386446	2.79
0.28923266893386446	2.8
0.28923266893386446	2.81
